id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40335183,mais uhaldia    qut  escanda   uhart cize   64220,311704449,Jean Pierre,Saint-Jean-Pied-de-Port,Uhart-Cize,43.16461,-1.2435,Entire home/apt,47,1,313,2024-03-21,6.12,1,152,74,
39150118,Charmant T2 avec parking  à 5' à pied de la plage,292783593,Christian,Hendaye,Hendaye,43.37043,-1.77338,Entire home/apt,88,365,4,2020-09-06,0.09,1,364,0,
39162797,Villa calme-accès plage à pied,101910578,Marina,Anglet,Anglet,43.50564,-1.52863,Entire home/apt,200,7,1,2022-08-27,0.05,2,29,0,6402400061205
40384454,"Grande maison basque rénovée (5 chambres, 15 pers)",29685734,Helene,Hasparren,Saint-Martin-d'Arberoue,43.34142,-1.20099,Entire home/apt,197,2,52,2023-07-31,1.01,1,187,9,STM-20191101
40394191,Maison basque avec piscine,312240927,Gabriel,Anglet,Anglet,43.49229,-1.50525,Entire home/apt,500,7,0,,,1,358,0,64024002821A9
39169148,Biarritz/EnsuiteBedroom 2 p/Private Bathr.&Toilets,8908955,Fréderique,Biarritz,Biarritz,43.48023,-1.5452,Private room,61,1,41,2024-03-07,0.80,1,101,36,
39170539,"Artzamendi, appartement La Rhune  155m2, terrasse",286277466,Georges,Ustaritz,Ustaritz,43.41351,-1.49503,Entire home/apt,119,7,4,2022-08-27,0.08,3,322,0,645470000268A
40398551,Appartement tranquille au pays basque,55906965,Jessica Ferreras,Ustaritz,Bassussarry,43.44723,-1.51796,Entire home/apt,,3,27,2023-08-27,0.60,1,341,4,6410000010163
40402459,Maison Basque avec vue sur La Nive,78632583,Stephane,Espelette,Cambo-les-Bains,43.36059,-1.38676,Entire home/apt,90,5,15,2023-12-30,0.34,1,321,4,
39173388,Teranga Baïta,224335733,Bertrand,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.36774,-1.59214,Entire home/apt,279,2,39,2024-03-10,0.73,1,321,8,
40423241,Hendaya    Impresionante loft  110M2  País Vasco,227344675,Manu,Hendaye,Hendaye,43.35676,-1.77782,Entire home/apt,64,4,40,2023-09-11,0.78,1,26,8,6426000151096
39198468,"Joli T2,54 m2, coquet,parking , centre de Biarritz",300790227,Domi,Biarritz,Biarritz,43.48322,-1.54318,Entire home/apt,91,4,58,2023-09-19,1.13,1,330,10,6412200131018
40477785,DOCHENEA- Maison typique basque pour 8 pers.,1311926,Susana,Saint-Jean-de-Luz,GuÃ©thary,43.42449,-1.60655,Entire home/apt,476,6,1,2022-07-14,0.05,11,303,0,642490000563F
39261191,Studio privé Régina 28m2 mer et golf,301417141,Zara,Biarritz,Biarritz,43.48974,-1.55038,Entire home/apt,75,2,0,,,1,170,0,64122182584VA
40483635,gite de charme rénové avec gout,208486259,Yann,Saint-Jean-Pied-de-Port,Ainhice-Mongelos,43.19903,-1.15369,Entire home/apt,,7,11,2023-08-20,0.25,2,205,2,
