direccion,localidad,provincia,precio,fecha_vigencia
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,369.0,2023-12-01 00:00:00
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,369.0,2023-12-01 00:00:00
av los notros 99 R16,LAGO PUELO,CHUBUT,302.0,2023-12-05 13:01:00
av los notros 99 R16,LAGO PUELO,CHUBUT,302.0,2023-12-05 13:01:00
H. YRIGOYEN 3723,JOSE C. PAZ,BUENOS AIRES,365.0,2023-12-06 00:00:00
H. YRIGOYEN 3723,JOSE C. PAZ,BUENOS AIRES,365.0,2023-12-06 00:00:00
Rivadavia 400,MAIPU,MENDOZA,350.0,2023-12-06 16:13:00
Rivadavia 400,MAIPU,MENDOZA,350.0,2023-12-06 16:13:00
AV LA PLATA 1812,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
AV LA PLATA 1812,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
AVENIDA COLON 671,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 00:00:00
AVENIDA COLON 671,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 00:00:00
JUAN IGNACIO GORRITI 411,SAN PEDRO,JUJUY,450.0,2023-12-08 00:00:00
25 DE MAYO 505,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
25 DE MAYO 505,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
JUAN IGNACIO GORRITI 411,SAN PEDRO,JUJUY,450.0,2023-12-08 00:00:00
RUTA 92 Y ACCESO A LOS TELARES,LOS TELARES,SANTIAGO DEL ESTERO,454.0,2023-12-08 00:00:00
AV. ALEM  Y RUTA 22,CHIMPAY,RIO NEGRO,371.0,2023-12-08 00:00:00
AV. ALEM  Y RUTA 22,CHIMPAY,RIO NEGRO,371.0,2023-12-08 00:00:00
RURA NAC. 9 KM 211.0,VILLA RAMALLO,BUENOS AIRES,470.0,2023-12-08 00:00:00
RURA NAC. 9 KM 211.0,VILLA RAMALLO,BUENOS AIRES,470.0,2023-12-08 00:00:00
RUTA 92 Y ACCESO A LOS TELARES,LOS TELARES,SANTIAGO DEL ESTERO,454.0,2023-12-08 00:00:00
DUARTE QUIROS 1651,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
RUTA NACIONAL 34 Y 50,PICHANAL,SALTA,450.0,2023-12-08 13:00:00
"RUTA 51 KM.19,5",OLAVARRIA,BUENOS AIRES,475.0,2023-12-08 13:00:00
GOYCOCHEA 1169,CORDOBA,CORDOBA,466.0,2023-12-08 13:00:00
RUTA 5 KM 496,PELLEGRINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA NACIONAL Nº 12 KM Nº 1361,5",CANDELARIA,MISIONES,479.0,2023-12-08 13:00:00
"RUTA 51 KM.19,5",OLAVARRIA,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA NACIONAL Nº 12 KM Nº 1361,5",CANDELARIA,MISIONES,479.0,2023-12-08 13:00:00
DUARTE QUIROS 1651,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
RUTA NAC Nº 12 602,LA PAZ,ENTRE RIOS,466.0,2023-12-08 13:00:00
RUTA 7 KM  1146,USPALLATA,MENDOZA,430.0,2023-12-08 13:00:00
CRAMER 899,BERNAL,BUENOS AIRES,448.0,2023-12-08 13:00:00
CRAMER 899,BERNAL,BUENOS AIRES,448.0,2023-12-08 13:00:00
RUTA 1 KM 272 ACCESO ROMANG,ROMANG,SANTA FE,462.0,2023-12-08 13:00:00
Av. Enrique Perez 384,VILLA MERCEDES,SAN LUIS,456.0,2023-12-08 13:00:00
Av. Enrique Perez 384,VILLA MERCEDES,SAN LUIS,456.0,2023-12-08 13:00:00
AVENIDA AMÉRICA 272,VILLA ASCAZUBI,CORDOBA,460.0,2023-12-08 13:00:00
AVENIDA AMÉRICA 272,VILLA ASCAZUBI,CORDOBA,460.0,2023-12-08 13:00:00
ESPAÑA 902,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
ESPAÑA 902,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
RUTA 6 Y BUENOS AIRES,SUNCHO CORRAL,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
RUTA 65 Y RUTA 33,GUAMINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA 65 Y RUTA 33,GUAMINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA E-53 KM 12 - UNQUILLO - CORDOBA,UNQUILLO,CORDOBA,466.0,2023-12-08 13:00:00
ITALIA Y RUTA NAC. 178,LAS ROSAS,SANTA FE,462.0,2023-12-08 13:00:00
RUTA 16 ESQUINA SALTA,JOAQUIN V. GONZALEZ,SALTA,450.0,2023-12-08 13:00:00
RUTA 16 ESQUINA SALTA,JOAQUIN V. GONZALEZ,SALTA,450.0,2023-12-08 13:00:00
RUTA 6 Y BUENOS AIRES,SUNCHO CORRAL,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
av.alem 1615,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
Avenida Mitre Nro.101,CHIVILCOY,BUENOS AIRES,475.0,2023-12-08 13:00:00
Avenida Mitre Nro.101,CHIVILCOY,BUENOS AIRES,475.0,2023-12-08 13:00:00
ITALIA Y RUTA NAC. 178,LAS ROSAS,SANTA FE,462.0,2023-12-08 13:00:00
GUEMES 767,CHARATA,CHACO,469.0,2023-12-08 13:00:00
GUEMES 767,CHARATA,CHACO,469.0,2023-12-08 13:00:00
GOYCOCHEA 1169,CORDOBA,CORDOBA,466.0,2023-12-08 13:00:00
RUTA E-53 KM 12 - UNQUILLO - CORDOBA,UNQUILLO,CORDOBA,466.0,2023-12-08 13:00:00
RUTA 8 Y HIPOLITO IRIGOYEN,VENADO TUERTO,SANTA FE,462.0,2023-12-08 13:00:00
AV. INDEPENDENCIA 775,SALTA,SALTA,450.0,2023-12-08 13:00:00
LEANDRO N. ALEM Y MONSEÑOR GALLARDO,OLIVA,CORDOBA,460.0,2023-12-08 13:00:00
JUAN MANUEL DE ROSAS 7888,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
JUAN MANUEL DE ROSAS 7888,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,460.0,2023-12-08 13:00:00
SAN MARTÍN 1002,CACHARI,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA 210 KM 32,5",GLEW,BUENOS AIRES,449.0,2023-12-08 13:00:00
"RUTA 210 KM 32,5",GLEW,BUENOS AIRES,449.0,2023-12-08 13:00:00
Av. Arijón 1993,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
9 DE JULIO 284,SAN BASILIO,CORDOBA,460.0,2023-12-08 13:00:00
RUTA 8 Y RUTA 197,MALVINAS ARGENTINAS,BUENOS AIRES,453.0,2023-12-08 13:00:00
CARRIL RETAMO S/N PHILIPPS,JUNIN,MENDOZA,430.0,2023-12-08 13:00:00
9 DE JULIO 284,SAN BASILIO,CORDOBA,460.0,2023-12-08 13:00:00
RUTA 8 Y RUTA 202,SAN MIGUEL,BUENOS AIRES,449.0,2023-12-08 13:00:00
SAN MARTÍN 1002,CACHARI,BUENOS AIRES,475.0,2023-12-08 13:00:00
Calle 15 N° 1585,VICTORICA,LA PAMPA,381.0,2023-12-08 13:00:00
21 1411,BERAZATEGUI,BUENOS AIRES,450.0,2023-12-08 13:00:00
presidente nestor carlos kirchner 7940 (ruta 205 km 41600),SPEGAZZINI,BUENOS AIRES,449.0,2023-12-08 13:00:00
RUTA NACIONAL N 3 KM. 361,CHILLAR,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA NACIONAL N 3 KM. 361,CHILLAR,BUENOS AIRES,475.0,2023-12-08 13:00:00
CARRIL RETAMO S/N PHILIPPS,JUNIN,MENDOZA,430.0,2023-12-08 13:00:00
Ruta 30 Km. 147,TANDIL,BUENOS AIRES,490.0,2023-12-08 13:00:00
Ruta 30 Km. 147,TANDIL,BUENOS AIRES,490.0,2023-12-08 13:00:00
RUTA 8 Y RUTA 197,MALVINAS ARGENTINAS,BUENOS AIRES,453.0,2023-12-08 13:00:00
RUTA 8 Y HIPOLITO IRIGOYEN,VENADO TUERTO,SANTA FE,462.0,2023-12-08 13:00:00
PTE PERON Y ALBERDI 234,COLON,ENTRE RIOS,465.0,2023-12-08 13:00:00
PTE PERON Y ALBERDI 234,COLON,ENTRE RIOS,465.0,2023-12-08 13:00:00
PUEYRREDON 358,VIEDMA,RIO NEGRO,379.0,2023-12-08 13:00:00
RUTA 5 KM 496,PELLEGRINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
SGTO.CABRAL 656,EZEIZA,BUENOS AIRES,449.0,2023-12-08 13:00:00
SAN MARTIN 3200,VILLA CONSTITUCION,SANTA FE,491.0,2023-12-08 13:00:00
SAN MARTIN 3200,VILLA CONSTITUCION,SANTA FE,491.0,2023-12-08 13:00:00
AV. INDEPENDENCIA 775,SALTA,SALTA,450.0,2023-12-08 13:00:00
SGTO.CABRAL 656,EZEIZA,BUENOS AIRES,449.0,2023-12-08 13:00:00
Ruta Nac.35 Km 406,EDUARDO CASTEX,LA PAMPA,381.0,2023-12-08 13:00:00
BALCARCE 118,VILLAGUAY,ENTRE RIOS,462.0,2023-12-08 13:00:00
BALCARCE 118,VILLAGUAY,ENTRE RIOS,462.0,2023-12-08 13:00:00
RUTA 30 Y DARDO ROCHA,RAUCH,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA 30 Y DARDO ROCHA,RAUCH,BUENOS AIRES,475.0,2023-12-08 13:00:00
Ruta Nac.35 Km 406,EDUARDO CASTEX,LA PAMPA,381.0,2023-12-08 13:00:00
CÓRDOBA 7898,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
CÓRDOBA 7898,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,460.0,2023-12-08 13:00:00
LEANDRO N. ALEM Y MONSEÑOR GALLARDO,OLIVA,CORDOBA,460.0,2023-12-08 13:00:00
PUEYRREDON 358,VIEDMA,RIO NEGRO,379.0,2023-12-08 13:00:00
Acceso sur 8051,CARRODILLA,MENDOZA,430.0,2023-12-08 13:00:00
SAN MARTIN 1380,COLON,ENTRE RIOS,465.0,2023-12-08 13:00:00
HIPOLITO YRIGOYEN 515 Y 9 DE JULIO,SAN RAFAEL,MENDOZA,436.0,2023-12-08 13:00:00
Acesso Maestro Soraire nº17,INGENIERO LUIGGI,LA PAMPA,381.0,2023-12-08 13:00:00
RUTA 3 KM. 187.3,LAS FLORES,BUENOS AIRES,475.0,2023-12-08 13:00:00
MORENO 102,TORQUINST,BUENOS AIRES,490.0,2023-12-08 13:00:00
MORENO 102,TORQUINST,BUENOS AIRES,490.0,2023-12-08 13:00:00
RUTA 3 KM. 187.3,LAS FLORES,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA 22 Y 40,LAS LAJAS,NEUQUEN,368.0,2023-12-08 13:00:00
AV. PTE. PERON 5294,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
AV. MITRE 1749,QUILMES,BUENOS AIRES,453.0,2023-12-08 13:00:00
AV. MITRE 1749,QUILMES,BUENOS AIRES,453.0,2023-12-08 13:00:00
Acesso Maestro Soraire nº17,INGENIERO LUIGGI,LA PAMPA,381.0,2023-12-08 13:00:00
RUTA NACIONAL 33 134.5,PIGUE,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA NACIONAL 33 134.5,PIGUE,BUENOS AIRES,475.0,2023-12-08 13:00:00
av hernandarias 1695,RESISTENCIA,CHACO,461.0,2023-12-08 13:00:00
AV UNION 2300,PONTEVEDRA,BUENOS AIRES,453.0,2023-12-08 13:00:00
AV UNION 2300,PONTEVEDRA,BUENOS AIRES,453.0,2023-12-08 13:00:00
SAN LORENZO 685,MONTE BUEY,CORDOBA,460.0,2023-12-08 13:00:00
SAN LORENZO 685,MONTE BUEY,CORDOBA,460.0,2023-12-08 13:00:00
8 DE SEPTIEMBRE Y URUGUAY,ARISTOBULO DEL VALLE,MISIONES,485.0,2023-12-08 13:00:00
Ruta Nacional 89 Km. 380.3,QUIMILI,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
ITUZAINGO 1280,CNEL. BRANDSEN,BUENOS AIRES,451.0,2023-12-08 13:00:00
ITUZAINGO 1280,CNEL. BRANDSEN,BUENOS AIRES,451.0,2023-12-08 13:00:00
EVA PERÓN 5395,LANUS,BUENOS AIRES,448.0,2023-12-08 13:00:00
Cordoba 1201,FUNES,SANTA FE,467.0,2023-12-08 13:00:00
SAN MARTIN Y 25 DE MAYO,SANTA SILVINA,CHACO,469.0,2023-12-08 13:00:00
SAN MARTIN Y 25 DE MAYO,SANTA SILVINA,CHACO,469.0,2023-12-08 13:00:00
AV. SAN LORENZO Y GRAL. LAS HERAS 2000,CAPITAN BERMUDEZ,SANTA FE,465.0,2023-12-08 13:00:00
AV. SAN LORENZO 3000,CAPITAN BERMUDEZ,SANTA FE,465.0,2023-12-08 13:00:00
RUTA 5 KM 451,TRENQUE LAUQUEN,BUENOS AIRES,475.0,2023-12-08 13:00:00
ANGEL GALLARDO 1024,SAN CARLOS DE BARILOCHE,RIO NEGRO,385.0,2023-12-08 13:00:00
ANGEL GALLARDO 1024,SAN CARLOS DE BARILOCHE,RIO NEGRO,385.0,2023-12-08 13:00:00
Av Eva Peron 6102,CAPITAL FEDERAL,CAPITAL FEDERAL,414.0,2023-12-08 13:00:00
BERTOLONE 200 ESQ. L. BERNAL,CARMEN DE PATAGONES,BUENOS AIRES,383.0,2023-12-08 13:00:00
ESTANISLAO LÓPEZ 2305,HUMBOLT,SANTA FE,462.0,2023-12-08 13:00:00
RUTA 19 RUTA158,SAN FRANCISCO,CORDOBA,460.0,2023-12-08 13:00:00
HIPOLITO YRIGOYEN 515 Y 9 DE JULIO,SAN RAFAEL,MENDOZA,436.0,2023-12-08 13:00:00
"RUTA 5 KM. 107,500",MERCEDES,BUENOS AIRES,475.0,2023-12-08 13:00:00
Av Eva Peron 6102,CAPITAL FEDERAL,CAPITAL FEDERAL,414.0,2023-12-08 13:00:00
"RUTA 5 KM. 107,500",MERCEDES,BUENOS AIRES,475.0,2023-12-08 13:00:00
Rochdale 2054,GRAL. ROCA,RIO NEGRO,361.0,2023-12-08 13:00:00
Rochdale 2054,GRAL. ROCA,RIO NEGRO,361.0,2023-12-08 13:00:00
EVA PERÓN 5395,LANUS,BUENOS AIRES,448.0,2023-12-08 13:00:00
RUTA 22 Y 40,LAS LAJAS,NEUQUEN,368.0,2023-12-08 13:00:00
ESTANISLAO LÓPEZ 2305,HUMBOLT,SANTA FE,462.0,2023-12-08 13:00:00
AGUSTIN GARZON 2717,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
AV. PTE. PERON 5294,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
Chilabert 1990,VILLA CELINA,BUENOS AIRES,448.0,2023-12-08 13:00:00
Ruta NAC 157 km 50,SIMOCA,TUCUMAN,448.0,2023-12-08 13:00:00
Ruta NAC 157 km 50,SIMOCA,TUCUMAN,448.0,2023-12-08 13:00:00
RUTA 7 KM 97 - SAN ANDRES DE GILES,SAN ANDRES DE GILES,BUENOS AIRES,477.0,2023-12-08 13:00:00
RUTA 7 KM 97 - SAN ANDRES DE GILES,SAN ANDRES DE GILES,BUENOS AIRES,477.0,2023-12-08 13:00:00
av.alem 1615,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
AV. CIRCUNVALACIÓN ESQ. SANTO DOMINGO,CHILECITO,LA RIOJA,447.0,2023-12-08 13:00:00
AV. CIRCUNVALACIÓN ESQ. SANTO DOMINGO,CHILECITO,LA RIOJA,447.0,2023-12-08 13:00:00
SAN MARTIN 1380,COLON,ENTRE RIOS,465.0,2023-12-08 13:00:00
MORENO Y PUJOL,MBURUCUYA,CORRIENTES,470.0,2023-12-08 13:00:00
MORENO Y PUJOL,MBURUCUYA,CORRIENTES,470.0,2023-12-08 13:00:00
Av.San Juan 2901,CAPITAL FEDERAL,CAPITAL FEDERAL,404.0,2023-12-08 13:00:00
Av.San Juan 2901,CAPITAL FEDERAL,CAPITAL FEDERAL,404.0,2023-12-08 13:00:00
Av Rivadavia 23604,SAN ANTONIO DE PADUA,BUENOS AIRES,448.0,2023-12-08 13:00:00
Av Rivadavia 23604,SAN ANTONIO DE PADUA,BUENOS AIRES,448.0,2023-12-08 13:00:00
Calle 15 N° 1585,VICTORICA,LA PAMPA,381.0,2023-12-08 13:00:00
Acceso sur 8051,CARRODILLA,MENDOZA,430.0,2023-12-08 13:00:00
RUTA 1 KM 272 ACCESO ROMANG,ROMANG,SANTA FE,462.0,2023-12-08 13:00:00
RUTA 5 Y PAGUAGA 514,VILLA GRAL. BELGRANO,CORDOBA,476.0,2023-12-08 13:00:00
RUTA 5 Y PAGUAGA 514,VILLA GRAL. BELGRANO,CORDOBA,476.0,2023-12-08 13:00:00
HIPOLITO IRIGOYEN Y FRIAS,ADROGUE,BUENOS AIRES,449.0,2023-12-08 13:00:00
AV ANTARTIDA ARGENTINA 7191,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
RUTA 5 KM 446,TRENQUE LAUQUEN,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA 5 KM 446,TRENQUE LAUQUEN,BUENOS AIRES,475.0,2023-12-08 13:00:00
BELGRANO 621,FELICIANO,ENTRE RIOS,458.0,2023-12-08 13:00:00
BELGRANO 621,FELICIANO,ENTRE RIOS,458.0,2023-12-08 13:00:00
RUTA 301 KM 12.7,LULES,TUCUMAN,448.0,2023-12-08 13:00:00
RUTA 301 KM 12.7,LULES,TUCUMAN,448.0,2023-12-08 13:00:00
av hernandarias 1695,RESISTENCIA,CHACO,461.0,2023-12-08 13:00:00
RUTA 3 Y VELEZ SARSFIELD,TRES ARROYOS,BUENOS AIRES,476.0,2023-12-08 13:00:00
RUTA 3 Y VELEZ SARSFIELD,TRES ARROYOS,BUENOS AIRES,476.0,2023-12-08 13:00:00
BERTOLONE 200 ESQ. L. BERNAL,CARMEN DE PATAGONES,BUENOS AIRES,383.0,2023-12-08 13:00:00
AV ANTARTIDA ARGENTINA 7191,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
Chilabert 1990,VILLA CELINA,BUENOS AIRES,448.0,2023-12-08 13:00:00
OV. LAGOS 3595,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
8 DE SEPTIEMBRE Y URUGUAY,ARISTOBULO DEL VALLE,MISIONES,485.0,2023-12-08 13:00:00
RUTA NACIONAL 34 Y 50,PICHANAL,SALTA,450.0,2023-12-08 13:00:00
HIPOLITO IRIGOYEN Y FRIAS,ADROGUE,BUENOS AIRES,449.0,2023-12-08 13:00:00
Ruta Nacional 89 Km. 380.3,QUIMILI,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
AGUSTIN GARZON 2717,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
CAMPOS 278,TOLHUIN,TIERRA DEL FUEGO,338.0,2023-12-08 13:00:00
CAMPOS 278,TOLHUIN,TIERRA DEL FUEGO,338.0,2023-12-08 13:00:00
AVDA. SAN MARTÍN Y 9 DE JULIO,VIALE,ENTRE RIOS,462.0,2023-12-08 13:00:00
AVDA. SAN MARTÍN Y 9 DE JULIO,VIALE,ENTRE RIOS,462.0,2023-12-08 13:00:00
OV. LAGOS 3595,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
presidente nestor carlos kirchner 7940 (ruta 205 km 41600),SPEGAZZINI,BUENOS AIRES,449.0,2023-12-08 13:00:00
Avenida General Paz 6850,CAPITAL FEDERAL,CAPITAL FEDERAL,414.0,2023-12-08 13:00:00
Av. Arijón 1993,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
YPOLITO IRIGOYEN Y MARCOS ZAR,PUERTO MADRYN,CHUBUT,368.0,2023-12-08 13:00:00
AV. MADRID 2394,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
Dr. Bto. de Miguel Nº 799,JUNIN,BUENOS AIRES,471.0,2023-12-08 13:00:00
Jose m.Moreno 1483,CAPITAL FEDERAL,CAPITAL FEDERAL,404.0,2023-12-08 13:00:00
CALCHAQUÍ 851 Y RODOLFO LÓPEZ,QUILMES,BUENOS AIRES,453.0,2023-12-08 13:00:00
Dr Ricardo Bailbin 8350,CORDOBA,CORDOBA,465.0,2023-12-08 13:00:00
calle 72 (boulevard 81)esquina 27 Nº 572,LA PLATA,BUENOS AIRES,454.0,2023-12-08 13:00:00
calle 72 (boulevard 81)esquina 27 Nº 572,LA PLATA,BUENOS AIRES,454.0,2023-12-08 13:00:00
RUTA 36  KM.49.5,DESPEÑADEROS,CORDOBA,460.0,2023-12-08 13:00:00
RUTA 36  KM.49.5,DESPEÑADEROS,CORDOBA,460.0,2023-12-08 13:00:00
AVDA.URQUIZA 1530,VILLA ELISA,ENTRE RIOS,465.0,2023-12-08 13:00:00
AVDA.URQUIZA 1530,VILLA ELISA,ENTRE RIOS,465.0,2023-12-08 13:00:00
RUTA 21 Y CACIQUE PURRAN,LONCOPUE,NEUQUEN,368.0,2023-12-08 13:00:00
RUTA 21 Y CACIQUE PURRAN,LONCOPUE,NEUQUEN,368.0,2023-12-08 13:00:00
1 Nº 1499,LA PLATA,BUENOS AIRES,454.0,2023-12-08 13:00:00
1 Nº 1499,LA PLATA,BUENOS AIRES,454.0,2023-12-08 13:00:00
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,465.0,2023-12-08 13:00:00
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,465.0,2023-12-08 13:00:00
JOAQUÍN V.GONZÁLEZ Nº 1,CHILECITO,LA RIOJA,447.0,2023-12-08 13:00:00
avenida pedro luro 9807,MAR DEL PLATA,BUENOS AIRES,468.0,2023-12-08 13:00:00
SARMIENTO 502,GODOY CRUZ,MENDOZA,430.0,2023-12-08 13:00:00
avenida pedro luro 9807,MAR DEL PLATA,BUENOS AIRES,468.0,2023-12-08 13:00:00
Montevideo 605,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 13:00:00
Acceso Este 8100,RODEO DE LA CRUZ,MENDOZA,430.0,2023-12-08 13:00:00
AV BELGRANO 19,MONTE CRISTO,CORDOBA,460.0,2023-12-08 13:00:00
AV BELGRANO 19,MONTE CRISTO,CORDOBA,460.0,2023-12-08 13:00:00
REMEDIOS DE ESCALADA S/N,VALCHETA,RIO NEGRO,371.0,2023-12-08 13:00:00
SANTA FE 1694 Y ESPAÑA,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
SANTA FE 1694 Y ESPAÑA,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
RUTA 51 KM.270,TAPALQUE,BUENOS AIRES,475.0,2023-12-08 13:00:00
ARISTOBULO DEL VALLE 1217,LAS HERAS,MENDOZA,430.0,2023-12-08 13:00:00
ARISTOBULO DEL VALLE 1217,LAS HERAS,MENDOZA,430.0,2023-12-08 13:00:00
AV. SAN MARTÍN ESQ. GALILEO -VILLA CARLOS PAZ,CORDOBA,CORDOBA,475.0,2023-12-08 13:00:00
Dr Ricardo Bailbin 8350,CORDOBA,CORDOBA,465.0,2023-12-08 13:00:00
ruta 34 1348,EMBARCACION,SALTA,450.0,2023-12-08 13:00:00
RUTA 51 KM.270,TAPALQUE,BUENOS AIRES,475.0,2023-12-08 13:00:00
ruta 34 1348,EMBARCACION,SALTA,450.0,2023-12-08 13:00:00
REMEDIOS DE ESCALADA S/N,VALCHETA,RIO NEGRO,371.0,2023-12-08 13:00:00
CALCHAQUÍ 851 Y RODOLFO LÓPEZ,QUILMES,BUENOS AIRES,453.0,2023-12-08 13:00:00
AV. DE LOS PIONEROS 883 (ALT KM 1),SAN CARLOS DE BARILOCHE,RIO NEGRO,385.0,2023-12-08 13:00:00
Montevideo 605,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 13:00:00
YPOLITO IRIGOYEN Y MARCOS ZAR,PUERTO MADRYN,CHUBUT,368.0,2023-12-08 13:00:00
Jose m.Moreno 1483,CAPITAL FEDERAL,CAPITAL FEDERAL,404.0,2023-12-08 13:00:00
ACONQUIJA 1784,YERBA BUENA,TUCUMAN,445.0,2023-12-08 13:00:00
SAN MARTIN 287,DESPEÑADEROS,CORDOBA,460.0,2023-12-08 13:00:00
SAN MARTIN 287,DESPEÑADEROS,CORDOBA,460.0,2023-12-08 13:00:00
RUTA PCIAL N* 1 KM 146,SAN JAVIER,SANTA FE,462.0,2023-12-08 13:00:00
SAN MARTIN 1344,BIGAND,SANTA FE,462.0,2023-12-08 13:00:00
SAN MARTIN 1344,BIGAND,SANTA FE,462.0,2023-12-08 13:00:00
Bartolome Mitre 420,PASO DEL REY,BUENOS AIRES,446.0,2023-12-08 13:00:00
Bartolome Mitre 420,PASO DEL REY,BUENOS AIRES,446.0,2023-12-08 13:00:00
JOAQUÍN V.GONZÁLEZ Nº 1,CHILECITO,LA RIOJA,447.0,2023-12-08 13:00:00
AV. COLON 4276,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
AV. REMEDIOS DE ESCALADA DE SAN MARTIN 3710,VALENTIN ALSINA,BUENOS AIRES,448.0,2023-12-08 13:00:00
AV. REMEDIOS DE ESCALADA DE SAN MARTIN 3710,VALENTIN ALSINA,BUENOS AIRES,448.0,2023-12-08 13:00:00
MORENO 26,GUALEGUAY,ENTRE RIOS,476.0,2023-12-08 13:00:00
AV. ANTÁRTIDA ARGENTINA Y CALLE 10,CAPITAL FEDERAL,CAPITAL FEDERAL,414.0,2023-12-08 13:00:00
RutaProvincial4Kilometro4,SAN JAVIER,MISIONES,485.0,2023-12-08 13:00:00
RutaProvincial4Kilometro4,SAN JAVIER,MISIONES,485.0,2023-12-08 13:00:00
"RUTA 33 KM 587,5",SANCTI SPIRITU,SANTA FE,462.0,2023-12-08 13:00:00
"RUTA 33 KM 587,5",SANCTI SPIRITU,SANTA FE,462.0,2023-12-08 13:00:00
AV. ANTÁRTIDA ARGENTINA Y CALLE 10,CAPITAL FEDERAL,CAPITAL FEDERAL,414.0,2023-12-08 13:00:00
RUTA 11 - KM  814,GUADALUPE NORTE,SANTA FE,465.0,2023-12-08 13:00:00
DONATO ALVAREZ 8600,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
DONATO ALVAREZ 8600,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
RUTA PCIAL N* 1 KM 146,SAN JAVIER,SANTA FE,462.0,2023-12-08 13:00:00
"Autopista Rosario Córdoba Km 665, dirección sur",RIO SEGUNDO,CORDOBA,467.0,2023-12-08 13:00:00
AUTOPISTA P E ARAMBURU KM 256 Este,FIGHIERA,SANTA FE,491.0,2023-12-08 13:00:00
AV. COLON 4276,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
ACONQUIJA 1784,YERBA BUENA,TUCUMAN,445.0,2023-12-08 13:00:00
SARMIENTO 502,GODOY CRUZ,MENDOZA,430.0,2023-12-08 13:00:00
PTE. PERÓN 1887,SAN MIGUEL,BUENOS AIRES,449.0,2023-12-08 13:00:00
PTE. PERÓN 1887,SAN MIGUEL,BUENOS AIRES,449.0,2023-12-08 13:00:00
AVDA ESCALADA 2951,CAPITAL FEDERAL,CAPITAL FEDERAL,404.0,2023-12-08 13:00:00
Colombres 1196,LOMAS DE ZAMORA,BUENOS AIRES,448.0,2023-12-08 13:00:00
